id,class_id,subject_name,created_at,class_name
2,2,Sanskrit,2023-11-27 22:26:32.814261,9
4,2,English,2023-11-27 22:26:32.814261,9
5,2,Mathematics,2023-11-27 22:26:32.814261,9
6,1,Hindi,2023-11-27 22:26:32.814261,10
8,1,Science,2023-11-27 22:26:32.814261,10
7,2,Social Science,2023-11-27 22:26:32.814261,9
10,2,Hindi,2023-11-27 22:26:32.814261,9
3,2,Health and Physical Education,2023-11-27 22:26:32.814261,9
11,1,Health and Physical Education,2023-11-27 22:26:32.814261,10
9,2,Science,2023-11-27 22:26:32.814261,9
12,1,Sanskrit,2023-11-27 22:26:32.814261,10
13,1,Mathematics,2023-11-27 22:26:32.814261,10
15,2,ICT,2023-11-27 22:26:32.814261,9
14,1,Social Science,2023-11-27 22:26:32.814261,10
16,2,Urdu,2023-11-27 22:26:32.814261,9
1,1,English,2023-11-27 22:26:32.814261,10